        YEAR       MONTH         DAY        HOUR      MINUTE   N_Cluster         LON         LAT       IND_X       IND_Y     REFLECT   yyyyy_xx1   yyyyy_xx2 yyyyyyy_xx3     yyy_xx4     yyy_xx5       RIVER         CXE    PRECIPIT         VIL
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.4314     -1.7889     98.0000     52.0000     21.7031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0233      0.1794
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.4114     -1.7889     99.0000     52.0000     21.7031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0233      0.1794
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3914     -1.7889    100.0000     52.0000     24.3906      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.5458      0.4647
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3714     -1.7889    101.0000     52.0000     20.9844      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9164      0.3196
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3514     -1.7889    102.0000     52.0000     20.5312      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8548      0.2402
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3314     -1.7889    103.0000     52.0000     20.3906      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8365      0.2350
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.4514     -1.8089     97.0000     53.0000     22.5156      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.1592      0.1997
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.4314     -1.8089     98.0000     53.0000     23.3594      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.3195      0.3585
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.4114     -1.8089     99.0000     53.0000     25.7500      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.8170      0.5500
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3914     -1.8089    100.0000     53.0000     28.6406      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      4.4302      0.6876
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3714     -1.8089    101.0000     53.0000     22.2969      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.1209      0.3798
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3514     -1.8089    102.0000     53.0000     21.1406      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9386      0.3516
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3314     -1.8089    103.0000     53.0000     20.3438      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8305      0.2723
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.4514     -1.8289     97.0000     54.0000     24.2188      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.5055      0.2498
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.4314     -1.8289     98.0000     54.0000     25.1719      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.7427      0.4104
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.4114     -1.8289     99.0000     54.0000     25.1250      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.7303      0.4471
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3914     -1.8289    100.0000     54.0000     25.3125      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.6304      0.4814
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3714     -1.8289    101.0000     54.0000     24.8438      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.4442      0.4489
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3514     -1.8289    102.0000     54.0000     23.8125      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.4145      0.3566
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3314     -1.8289    103.0000     54.0000     24.3594      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.5384      0.3579
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3114     -1.8289    104.0000     54.0000     21.0781      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9296      0.2746
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.2914     -1.8289    105.0000     54.0000     22.0781      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0839      0.2721
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.2714     -1.8289    106.0000     54.0000     22.0938      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0865      0.2675
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.4314     -1.8489     98.0000     55.0000     21.8438      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0456      0.3333
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.4114     -1.8489     99.0000     55.0000     22.7344      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.1988      0.3602
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3914     -1.8489    100.0000     55.0000     23.2188      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.2913      0.3644
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3714     -1.8489    101.0000     55.0000     24.0156      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.4593      0.4185
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3514     -1.8489    102.0000     55.0000     22.8906      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.2279      0.3479
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3314     -1.8489    103.0000     55.0000     26.9688      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      3.4095      0.5291
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3114     -1.8489    104.0000     55.0000     23.2500      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.2975      0.3492
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.2914     -1.8489    105.0000     55.0000     21.9219      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0582      0.2795
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.2714     -1.8489    106.0000     55.0000     20.9219      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9076      0.2377
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.4314     -1.8689     98.0000     56.0000     21.1250      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9364      0.2882
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.4114     -1.8689     99.0000     56.0000     22.0312      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0761      0.2962
